,description,product_name,Name_and_Description,labels_num,label_name
0,"['key', 'featur', 'eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'floral', 'curtain', 'eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'height', 'price', 'curtain', 'enhanc', 'look', 'interior', 'curtain', 'made', 'high', 'qualiti', 'polyest', 'fabric', 'featur', 'eyelet', 'style', 'stitch', 'metal', 'ring', 'make', 'room', 'environ', 'romant', 'love', 'curtain', 'ant', 'wrinkl', 'anti', 'shrinkag', 'eleg', 'appar', 'give', 'home', 'bright', 'modernist', 'appeal', 'design', 'surreal', 'attent', 'sure', 'steal', 'heart', 'contemporari', 'eyelet', 'valanc', 'curtain', 'slide', 'draw', 'first', 'thing', 'morn', 'welcom', 'bright', 'sun', 'ray', 'want', 'wish', 'good', 'morn', 'whole', 'world', 'draw', 'creat', 'special', 'moment', 'joyous', 'beauti', 'given', 'sooth', 'print', 'bring', 'home', 'eleg', 'curtain', 'filter', 'light', 'room', 'get', 'right', 'amount', 'sunlight', 'specif', 'eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'height', 'general', 'brand', 'eleg', 'design', 'door', 'type', 'eyelet', 'model', 'name', 'abstract', 'polyest', 'door', 'curtain', 'set', 'model', 'duster', 'color', 'multicolor', 'dimen', 'length', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'curtain', 'bodi', 'design', 'materi', 'polyest']","['eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain']","['key', 'featur', 'eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'floral', 'curtain', 'eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'height', 'price', 'curtain', 'enhanc', 'look', 'interior', 'curtain', 'made', 'high', 'qualiti', 'polyest', 'fabric', 'featur', 'eyelet', 'style', 'stitch', 'metal', 'ring', 'make', 'room', 'environ', 'romant', 'love', 'curtain', 'ant', 'wrinkl', 'anti', 'shrinkag', 'eleg', 'appar', 'give', 'home', 'bright', 'modernist', 'appeal', 'design', 'surreal', 'attent', 'sure', 'steal', 'heart', 'contemporari', 'eyelet', 'valanc', 'curtain', 'slide', 'draw', 'first', 'thing', 'morn', 'welcom', 'bright', 'sun', 'ray', 'want', 'wish', 'good', 'morn', 'whole', 'world', 'draw', 'creat', 'special', 'moment', 'joyous', 'beauti', 'given', 'sooth', 'print', 'bring', 'home', 'eleg', 'curtain', 'filter', 'light', 'room', 'get', 'right', 'amount', 'sunlight', 'specif', 'eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'height', 'general', 'brand', 'eleg', 'design', 'door', 'type', 'eyelet', 'model', 'name', 'abstract', 'polyest', 'door', 'curtain', 'set', 'model', 'duster', 'color', 'multicolor', 'dimen', 'length', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'curtain', 'bodi', 'design', 'materi', 'polyest', 'eleg', 'polyest', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain']",4.0,Home Furnishing
1,"['specif', 'sathiya', 'cotton', 'bath', 'towel', 'bath', 'towel', 'red', 'yellow', 'blue', 'bath', 'towel', 'featur', 'machin', 'washabl', 'materi', 'cotton', 'design', 'self', 'design', 'general', 'brand', 'sathiya', 'type', 'bath', 'towel', 'gsm', 'model', 'name', 'sathiya', 'cotton', 'bath', 'towel', 'ideal', 'men', 'woman', 'boy', 'girl', 'model', 'asvtwl', 'color', 'red', 'yellow', 'blue', 'size', 'mediam', 'dimen', 'length', 'inch', 'width', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'bath', 'towel']","['sathiya', 'cotton', 'bath', 'towel']","['specif', 'sathiya', 'cotton', 'bath', 'towel', 'bath', 'towel', 'red', 'yellow', 'blue', 'bath', 'towel', 'featur', 'machin', 'washabl', 'materi', 'cotton', 'design', 'self', 'design', 'general', 'brand', 'sathiya', 'type', 'bath', 'towel', 'gsm', 'model', 'name', 'sathiya', 'cotton', 'bath', 'towel', 'ideal', 'men', 'woman', 'boy', 'girl', 'model', 'asvtwl', 'color', 'red', 'yellow', 'blue', 'size', 'mediam', 'dimen', 'length', 'inch', 'width', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'bath', 'towel', 'sathiya', 'cotton', 'bath', 'towel']",0.0,Baby Care
2,"['key', 'featur', 'eurospa', 'cotton', 'terri', 'face', 'towel', 'set', 'size', 'small', 'height', 'inch', 'gsm', 'eurospa', 'cotton', 'terri', 'face', 'towel', 'set', 'piec', 'face', 'towel', 'set', 'price', 'eurospa', 'bring', 'design', 'soft', 'cotton', 'towel', 'export', 'qualiti', 'soft', 'textur', 'take', 'care', 'skin', 'give', 'enrich', 'feel', 'deserv', 'eurospa', 'export', 'bath', 'towel', 'lot', 'renown', 'brand', 'last', 'year', 'famous', 'fine', 'print', 'absorb', 'soft', 'durabl', 'note', 'product', 'cotton', 'suscept', 'shrinkag', 'product', 'color', 'may', 'vari', 'pictur', 'size', 'may', 'vari', 'wash', 'care', 'wash', 'cold', 'water', 'iron', 'bleach', 'flat', 'dri', 'wash', 'size', 'face', 'towel', 'specif', 'eurospa', 'cotton', 'terri', 'face', 'towel', 'set', 'piec', 'face', 'towel', 'set', 'bath', 'towel', 'featur', 'materi', 'cotton', 'terri', 'design', 'shuvam', 'general', 'brand', 'eurospa', 'gsm', 'type', 'face', 'towel', 'set', 'name', 'shuvampcftsetassort', 'ideal', 'boy', 'girl', 'men', 'woman', 'shuvampcftsetassort', 'size', 'small', 'color', 'dimen', 'weight', 'length', 'inch', 'width', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'piec', 'face', 'towel', 'set']","['eurospa', 'cotton', 'terri', 'face', 'towel', 'set']","['key', 'featur', 'eurospa', 'cotton', 'terri', 'face', 'towel', 'set', 'size', 'small', 'height', 'inch', 'gsm', 'eurospa', 'cotton', 'terri', 'face', 'towel', 'set', 'piec', 'face', 'towel', 'set', 'price', 'eurospa', 'bring', 'design', 'soft', 'cotton', 'towel', 'export', 'qualiti', 'soft', 'textur', 'take', 'care', 'skin', 'give', 'enrich', 'feel', 'deserv', 'eurospa', 'export', 'bath', 'towel', 'lot', 'renown', 'brand', 'last', 'year', 'famous', 'fine', 'print', 'absorb', 'soft', 'durabl', 'note', 'product', 'cotton', 'suscept', 'shrinkag', 'product', 'color', 'may', 'vari', 'pictur', 'size', 'may', 'vari', 'wash', 'care', 'wash', 'cold', 'water', 'iron', 'bleach', 'flat', 'dri', 'wash', 'size', 'face', 'towel', 'specif', 'eurospa', 'cotton', 'terri', 'face', 'towel', 'set', 'piec', 'face', 'towel', 'set', 'bath', 'towel', 'featur', 'materi', 'cotton', 'terri', 'design', 'shuvam', 'general', 'brand', 'eurospa', 'gsm', 'type', 'face', 'towel', 'set', 'name', 'shuvampcftsetassort', 'ideal', 'boy', 'girl', 'men', 'woman', 'shuvampcftsetassort', 'size', 'small', 'color', 'dimen', 'weight', 'length', 'inch', 'width', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'piec', 'face', 'towel', 'set', 'eurospa', 'cotton', 'terri', 'face', 'towel', 'set']",0.0,Baby Care
3,"['key', 'featur', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'doubl', 'bedsheet', 'royal', 'bedsheet', 'perfact', 'wed', 'gift', 'specif', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'doubl', 'bedsheet', 'bedsheet', 'cover', 'multicolor', 'general', 'brand', 'santosh', 'royal', 'fashion', 'machin', 'washabl', 'yes', 'type', 'flat', 'materi', 'cotton', 'model', 'name', 'gold', 'design', 'royal', 'cotton', 'print', 'wed', 'gift', 'doubl', 'bedsheet', 'cover', 'model', 'goldbedi', 'color', 'multicolor', 'size', 'king', 'fabric', 'care', 'machin', 'wash', 'bleach', 'dimen', 'flat', 'sheet', 'width', 'inch', 'fit', 'sheet', 'width', 'cover', 'width', 'inch', 'cover', 'length', 'inch', 'fit', 'sheet', 'depth', 'fit', 'sheet', 'length', 'flat', 'sheet', 'depth', 'flat', 'sheet', 'length', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'bedsheet', 'cover']","['santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'doubl', 'bedsheet']","['key', 'featur', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'doubl', 'bedsheet', 'royal', 'bedsheet', 'perfact', 'wed', 'gift', 'specif', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'doubl', 'bedsheet', 'bedsheet', 'cover', 'multicolor', 'general', 'brand', 'santosh', 'royal', 'fashion', 'machin', 'washabl', 'yes', 'type', 'flat', 'materi', 'cotton', 'model', 'name', 'gold', 'design', 'royal', 'cotton', 'print', 'wed', 'gift', 'doubl', 'bedsheet', 'cover', 'model', 'goldbedi', 'color', 'multicolor', 'size', 'king', 'fabric', 'care', 'machin', 'wash', 'bleach', 'dimen', 'flat', 'sheet', 'width', 'inch', 'fit', 'sheet', 'width', 'cover', 'width', 'inch', 'cover', 'length', 'inch', 'fit', 'sheet', 'depth', 'fit', 'sheet', 'length', 'flat', 'sheet', 'depth', 'flat', 'sheet', 'length', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'bedsheet', 'cover', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'doubl', 'bedsheet']",4.0,Home Furnishing
4,"['key', 'featur', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet', 'cotton', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet', 'bed', 'sheet', 'pillow', 'white', 'price', 'nice', 'bed', 'sheet', 'made', 'cotton', 'give', 'comfort', 'bed', 'sheet', 'hand', 'print', 'bedsheet', 'give', 'nice', 'look', 'room', 'colour', 'good', 'qualiti', 'give', 'bedsheet', 'long', 'life', 'specif', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet', 'bed', 'sheet', 'pillow', 'white', 'general', 'machin', 'washabl', 'yes', 'brand', 'jaipur', 'print', 'type', 'flat', 'model', 'name', 'jaipur', 'materi', 'cotton', 'thread', 'count', 'model', 'jaipur', 'fabric', 'care', 'machinewash', 'bleach', 'size', 'king', 'color', 'white', 'warranti', 'waranti', 'product', 'manufactur', 'defect', 'product', 'exchang', 'onl', 'use', 'return', 'origion', 'pack', 'dimen', 'flat', 'sheet', 'width', 'inch', 'fit', 'sheet', 'width', 'pillow', 'width', 'inch', 'pillow', 'length', 'inch', 'weight', 'fit', 'sheet', 'depth', 'fit', 'sheet', 'length', 'flat', 'sheet', 'depth', 'flat', 'sheet', 'length', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'bed', 'sheet', 'pillow']","['jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet']","['key', 'featur', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet', 'cotton', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet', 'bed', 'sheet', 'pillow', 'white', 'price', 'nice', 'bed', 'sheet', 'made', 'cotton', 'give', 'comfort', 'bed', 'sheet', 'hand', 'print', 'bedsheet', 'give', 'nice', 'look', 'room', 'colour', 'good', 'qualiti', 'give', 'bedsheet', 'long', 'life', 'specif', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet', 'bed', 'sheet', 'pillow', 'white', 'general', 'machin', 'washabl', 'yes', 'brand', 'jaipur', 'print', 'type', 'flat', 'model', 'name', 'jaipur', 'materi', 'cotton', 'thread', 'count', 'model', 'jaipur', 'fabric', 'care', 'machinewash', 'bleach', 'size', 'king', 'color', 'white', 'warranti', 'waranti', 'product', 'manufactur', 'defect', 'product', 'exchang', 'onl', 'use', 'return', 'origion', 'pack', 'dimen', 'flat', 'sheet', 'width', 'inch', 'fit', 'sheet', 'width', 'pillow', 'width', 'inch', 'pillow', 'length', 'inch', 'weight', 'fit', 'sheet', 'depth', 'fit', 'sheet', 'length', 'flat', 'sheet', 'depth', 'flat', 'sheet', 'length', 'inch', 'box', 'number', 'content', 'sale', 'packag', 'sale', 'packag', 'bed', 'sheet', 'pillow', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'doubl', 'bedsheet']",4.0,Home Furnishing
5,"['maserati', 'time', 'analog', 'watch', 'boy', 'maserati', 'time', 'analog', 'watch', 'boy', 'india', 'great', 'discount']","['maserati', 'time', 'analog', 'watch', 'boy']","['maserati', 'time', 'analog', 'watch', 'boy', 'maserati', 'time', 'analog', 'watch', 'boy', 'india', 'great', 'discount', 'maserati', 'time', 'analog', 'watch', 'boy']",6.0,Watches
6,"['camerii', 'eleg', 'analog', 'watch', 'men', 'boy', 'camerii', 'eleg', 'analog', 'watch', 'men', 'boy', 'india', 'great', 'discount']","['camerii', 'eleg', 'analog', 'watch', 'men', 'boy']","['camerii', 'eleg', 'analog', 'watch', 'men', 'boy', 'camerii', 'eleg', 'analog', 'watch', 'men', 'boy', 'india', 'great', 'discount', 'camerii', 'eleg', 'analog', 'watch', 'men', 'boy']",6.0,Watches
7,"['star', 'uft', 'tsw', 'analog', 'watch', 'boy', 'price', 'whether', 'way', 'work', 'travel', 'famili', 'lifestyl', 'accessori', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophist', 'class', 'mundan', 'regular', 'daili', 'wear', 'come', 'suav', 'leather', 'belt', 'design', 'finish', 'timepiec', 'separ', 'rest', 'whether', 'way', 'work', 'travel', 'famili', 'lifestyl', 'accessori', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophist', 'class', 'mundan', 'regular', 'daili', 'wear', 'come', 'suav', 'leather', 'belt', 'design', 'finish', 'timepiec', 'separ', 'rest']","['star', 'uft', 'tsw', 'analog', 'watch', 'boy']","['star', 'uft', 'tsw', 'analog', 'watch', 'boy', 'price', 'whether', 'way', 'work', 'travel', 'famili', 'lifestyl', 'accessori', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophist', 'class', 'mundan', 'regular', 'daili', 'wear', 'come', 'suav', 'leather', 'belt', 'design', 'finish', 'timepiec', 'separ', 'rest', 'whether', 'way', 'work', 'travel', 'famili', 'lifestyl', 'accessori', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophist', 'class', 'mundan', 'regular', 'daili', 'wear', 'come', 'suav', 'leather', 'belt', 'design', 'finish', 'timepiec', 'separ', 'rest', 'star', 'uft', 'tsw', 'analog', 'watch', 'boy']",6.0,Watches
8,"['alfajr', 'wyb', 'youth', 'digit', 'watch', 'men', 'boy', 'alfajr', 'wyb', 'youth', 'digit', 'watch', 'men', 'boy', 'wyb', 'india', 'azan', 'time', 'citi', 'around', 'world', 'prayer', 'remind', 'qibla', 'direct', 'hijri', 'gregorian', 'calnedar', 'qur', 'bookmark', 'daili', 'alram', 'great', 'discount']","['alfajr', 'wyb', 'youth', 'digit', 'watch', 'men', 'boy']","['alfajr', 'wyb', 'youth', 'digit', 'watch', 'men', 'boy', 'alfajr', 'wyb', 'youth', 'digit', 'watch', 'men', 'boy', 'wyb', 'india', 'azan', 'time', 'citi', 'around', 'world', 'prayer', 'remind', 'qibla', 'direct', 'hijri', 'gregorian', 'calnedar', 'qur', 'bookmark', 'daili', 'alram', 'great', 'discount', 'alfajr', 'wyb', 'youth', 'digit', 'watch', 'men', 'boy']",6.0,Watches
9,"['tag', 'heuer', 'cau', 'formula', 'analog', 'watch', 'boy', 'men', 'tag', 'heuer', 'cau', 'formula', 'analog', 'watch', 'boy', 'men', 'cau', 'india', 'swiss', 'made', 'quartz', 'movement', 'scratch', 'resist', 'sapphir', 'crystal', 'glass', 'water', 'resist', 'metr', 'featur', 'chronograph', 'great', 'discount']","['tag', 'heuer', 'cau', 'formula', 'analog', 'watch', 'boy', 'men']","['tag', 'heuer', 'cau', 'formula', 'analog', 'watch', 'boy', 'men', 'tag', 'heuer', 'cau', 'formula', 'analog', 'watch', 'boy', 'men', 'cau', 'india', 'swiss', 'made', 'quartz', 'movement', 'scratch', 'resist', 'sapphir', 'crystal', 'glass', 'water', 'resist', 'metr', 'featur', 'chronograph', 'great', 'discount', 'tag', 'heuer', 'cau', 'formula', 'analog', 'watch', 'boy', 'men']",6.0,Watches
